first_name,last_name,gender,mark
Trenna,Stanlake,Female,69.98
Bonita,Hauch,Female,52.62
Michaelina,Franzoli,Female,71.38
Daryn,Portch,Female,84.9
Cathe,Roder,Female,75.03
Bekki,McIlvenny,Female,61.47
Nehemiah,Brandrick,Male,75.22
Guilbert,Farmiloe,Male,58.66
Delora,Silk,Female,74.1
Lisha,Zolini,Female,75.56
Clayborne,Comfort,Male,78.12
Wye,Gerauld,Male,66.98
Kat,Teasdale,Female,85.47
Felicdad,Schuster,Female,65.53
Barton,Haskey,Male,73.04
Lancelot,Le Quesne,Male,72.51
Correy,Petschel,Female,45.54
Jammie,Ottiwill,Female,70.03
Omar,Jackett,Male,68
Lazaro,Donegan,Male,55.49
Ariana,Gherardesci,Female,77.17
Isa,Haycroft,Female,59.16
Jere,Fost,Male,78.85
Joni,Bower,Female,77.85
Lonnard,Ditt,Male,88.74
